SMI,Target,Property
c1cccc(F)c1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cccc(Cl)c1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cccc(Br)c1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cccc(C)c1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cccc(C(F)(F)F)c1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1ccc(F)cc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1ccc(Cl)cc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1ccc(C)cc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1ccc(C(F)(F)F)cc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(F)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(Cl)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(Br)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(C)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(C(F)(F)F)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
COc(cc1)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cc(C#N)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
CC(C)(C)c(cc1)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1c(F)cc(F)cc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
n1ccccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1ncccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1cnccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
c1sccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CO4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
CC(=O)c1ccc(cc1)[C@@H](C2)C(=C3C(CC4)=CC(=O)CC3)[C@@H]4[C@H](CC5)[C@@]2(C)[C@]56C(=C)OC(=N6)CC,GR,antagonist
CC(=O)c1ccc(cc1)[C@@H](C2)C(=C3C(CC4)=CC(=O)CC3)[C@@H]4[C@H](CC5)[C@@]2(C)[C@]56C(=C)OC(=N6)C,GR,antagonist
CCC(=N1)OC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
CC(=N1)OC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
N1=COC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)N(C)C,GR,antagonist
CC(=N1)OC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](C3)c(cc6)cc(F)c6OC,GR,antagonist
C1CC(=O)C=C(CC2)C1=C([C@@H]2[C@@H]([C@@]34C)CC[C@@H]3O)[C@H](OC4)c5ccc(cc5)N(C)C,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)N(C)C,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)N(C)C,GR,antagonist
c1ccccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](OC3)c6ccc(cc6)N(C)C,GR,antagonist
FC(F)(F)C(F)(F)[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)N(C)C,GR,antagonist
C=C(C)[C@@]1(O)CC[C@@H]([C@]12C)[C@@H]3C(=C4C(CC3)=CC(=O)CC4)[C@@H](OC2)c5ccc(cc5)N(C)C,GR,antagonist
FC(F)(F)C(F)(F)[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)SC,GR,antagonist
C=C(C)[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)SC,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)OC,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](OC2)c5ccc(cc5)OC,GR,antagonist
c1ccccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](OC3)c6ccc(cc6)OC,GR,antagonist
c1cc(C(F)(F)F)ccc1C#C[C@]2(O)CC[C@H]([C@@]23C)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](OC3)c6ccc(cc6)OC,GR,antagonist
O1CCC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](OC3)c6ccc(cc6)N(C)C,GR,antagonist
O1CCC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](OC3)c6ccc(cc6)OC,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c(c5)ccc(c56)ocn6,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c(c5)ccc(c56)oc(n6)C,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c(c5)ccc(c56)oc(n6)CC,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c(c5)ccc(c5C)OCCO[C@@H](CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c(c5)cc(C)c(c5C)OCCO[C@@H](CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C1CCCCC1C(=O)c2c(scc2)/C=C(/c(c3c45)c6c(cc3)NC(C)(C)C=C6C)Oc5ccc(O)c4OC,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4ccccc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(F)cccc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(F)cc(F)cc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(Cl)cccc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(Cl)cc(Cl)cc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(Br)cccc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc4c(Br)cc(Br)cc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc(c4C(F)(F)F)cccc4,GR,antagonist
c1c(F)cc(F)cc1CN(c(c(Br)c2)c(Br)cc2CC(=O)O)Cc3ccc(cc3)Oc(c4C(F)(F)F)ccc(C(F)(F)F)c4,GR,antagonist
COc1c(O)ccc(c12)OC(=C\c3cc(C)ccc3)/C4=C2C=CC5C4C(C)=CC(C)(C)N5,GR,antagonist
COc1c(O)ccc(c12)OC(=C\c(cc3C(F)(F)F)ccc3)/C4=C2C=CC5C4C(C)=CC(C)(C)N5,GR,antagonist
c1ccccc1-c(ccc2)cc2/C=C(Oc(c34)ccc(O)c4OC)/C5=C3C=CC6C5C(C)=CC(C)(C)N6,GR,antagonist
COc1c(O)ccc(c12)OC(=C\c3cc(OC(F)(F)F)ccc3)/C4=C2C=CC5C4C(C)=CC(C)(C)N5,GR,antagonist
c1ccccc1Oc(ccc2)cc2/C=C(Oc(c34)ccc(O)c4OC)/C5=C3C=CC6C5C(C)=CC(C)(C)N6,GR,antagonist
c1sccc1-c(ccc2)cc2/C=C(Oc(c34)ccc(O)c4OC)/C5=C3C=CC6C5C(C)=CC(C)(C)N6,GR,antagonist
c1ncccc1-c(ccc2)cc2/C=C(Oc(c34)ccc(O)c4OC)/C5=C3C=CC6C5C(C)=CC(C)(C)N6,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)C(=O)C,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)C(=O)CC[C@@H](C(=O)O)NC(=O)CC[C@@H](C)[C@H]6CC[C@H]([C@@]67C)[C@H]8[C@H](C[C@@H]7O)[C@]9(C)[C@H](C[C@H]8O)C[C@H](O)CC9,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)C(=O)CNC(=O)OC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCNC(=O)OC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCCC(=O)N(C)C(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCNC(=O)N(C)C(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCCS(=O)(=O)N(C)C(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCCOC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOCCO[C@H](CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOCCO[C@@H](CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](CC7)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](CC8)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](CC7)[C@@]6(C)[C@@H](CC8)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCC[C@@](O)(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCC[C@@H]([C@H](O)CC6)[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)C(=O)CNC(=O)O[C@@H]6C[C@H](CC(O)CC7)[C@@]7(C)[C@@H](C[C@@H]8O)[C@@H]6[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCNC(=O)O[C@@H]6C[C@H](CC(O)CC7)[C@@]7(C)[C@@H](C[C@@H]8O)[C@@H]6[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)C(=O)CNC(=O)O[C@H]6C[C@H]([C@]7(C)[C@H](C[C@H]8O)C[C@H](O)CC7)[C@@H]8[C@@H]([C@]69C)CC[C@@H]9[C@H](C)CCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)NCC(=O)O,GR,antagonist
C#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CCOC(CC6)C[C@@H](C[C@H]7O)[C@@]6(C)[C@@H](C[C@@H]8O)[C@@H]7[C@@H]([C@]89C)CC[C@@H]9[C@H](C)CCC(=O)NCCS(=O)(=O)O,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)CC(=O)N(c6ccc(Br)cc6)Cc(cc7)ccc7C(=O)O,GR,antagonist
CC#C[C@]1(O)CC[C@H]([C@@]12C)[C@H]3C(=C4C(CC3)=CC(=O)CC4)[C@H](C2)c5ccc(cc5)N(C)Cc(cc6)ccc6C(C)C(=O)O,GR,antagonist
O1CCC(=C)[C@]12[C@]3(C)[C@@H](CC2)[C@H]4C(=C5C(CC4)=CC(=O)CC5)[C@H](C3)c6ccc(cc6)P(=O)(C)OCC,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC(C23Cc4ccc(F)cc4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cn1)S(=O)(=O)N(C2)CCC(C23Cc4ccc(F)cc4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1NS(=O)(=O)N(C2)CCC(C23Cc4ccc(F)cc4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1CN(C2)CCC(C23Cc4ccc(F)cc4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
Cc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
COc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
FC(F)(F)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CO)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CO)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23COC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Cc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
FC(F)(F)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
FC(F)(F)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
FC(F)(F)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23COCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Cc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCO)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCC#N)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23COCCN4CCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
C1CCCCN1CCOC[C@@]23C(CCN(C3)S(=O)(=O)c(cc4)ccc4C(C)(C)C)=Cc5c(C2)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNCC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNC(C)C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNCC=C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23CN(C)C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN(C)C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN(C)C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN(CC)CC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNCCO)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNCCOC)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CNCCN(C)C)=Cc4c(C3)cnn4-c5ccc(F)cc5,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23CN4CCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
Fc1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23CN4CCCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCCCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1S(=O)(=O)N(C2)CCC([C@@]23CN4CCOCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCOCC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
CC(C)(C)c1ccc(cc1)S(=O)(=O)N(C2)CCC([C@@]23CN4CCN(C)CC4)=Cc5c(C3)cnn5-c6ccc(F)cc6,GR,antagonist
c1ccccc1Cc2c([nH]c(=O)[nH]c2=O)[C@H]3CC[C@@H](CC3)c4ccccc4,GR,antagonist
c1ccc(C)cc1Cc2c([nH]c(=O)[nH]c2=O)[C@H]3CC[C@H](CC3)c4ccccc4,GR,antagonist
